id,title,author,description,availableCopies,CategoryId
b4e12613-1718-47a8-ad9c-7fcfe21b6935,Cape Fear,Curt Wemyss,Puncture wound without foreign body of vagina and vulva,89-617-4040,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
1c451e8b-e719-4890-8f36-b7086b080224,Raising Victor Vargas,Frederigo Muro,"Fused fingers, left hand",16-266-5051,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
e7068784-02af-4ea5-b23f-b22f43179a9a,"Devil and Max Devlin, The",Ev Bale,"Poisn by antiparkns drug/centr musc-tone depr, undet, subs",81-708-9238,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
daaec4c2-ea45-4462-96b1-afd505d7055c,Silver Bullet (Stephen King's Silver Bullet),Jaymie Grouvel,"Galeazzi's fx left radius, subs for clos fx w nonunion",17-932-9923,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
efffc20a-b5f9-46a9-9d7b-a8d3eebfec7d,"Innocent, The (Innocente, L')",Carla Bodicam,"Open bite of left hand, subsequent encounter",02-893-1244,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
81bdb33c-3563-4617-a3c2-7ce8084c9e9b,Where the Heart Is,Cherey Labeuil,Rheu arthritis w rheu factor of wrist w/o org/sys involv,24-156-4752,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
106e4138-a43e-4c88-80d3-a87a2637a60b,Le créateur ,Parry Taphouse,"Other acute osteomyelitis, hand",70-385-7151,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
1c369aee-98b6-4955-bd8c-88f11d74da91,Doctor Who: The Time of the Doctor,Garv Theodore,"Traum rupt of volar plate of r idx fngr at MCP/IP jt, subs",93-133-3866,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
230b5495-e738-402a-8abd-d54a23cd80d4,Objectified,Angelle Dutt,"Corros first deg of unsp site right lower limb, ex ank/ft",38-560-2597,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
028a998f-e823-4b3f-ad15-e3b7f312273a,Apache Territory ,Heinrick Gleader,Chronic nephritic syndrome with unsp morphologic changes,61-363-3901,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
